https://heasarc.gsfc.nasa.gov/W3Browse/planck/planckgcc.html
Results from heasarc_planckgcc: Planck Catalog of Galactic Cold Clumps (PGCC)
Coordinate system: Equatorial
|name              |ra         |dec        |temperature|temperature_error|mass        |mass_error  |size      |size_error|
|PGCC G307.39-32.51|22 33 06.79|-83 22 32.3|           |                 |            |            |          |          |
|PGCC G309.01-23.38|16 39 46.23|-83 20 54.6|  15.670000|         1.275000|            |            |          |          |
|PGCC G304.31-20.60|13 36 13.49|-83 20 49.8|  17.542000|         3.257000|6.632070e-01|3.453760e-01|  0.591586|  0.054795|
|PGCC G307.63-21.80|15 30 29.75|-83 10 18.9|  16.538000|         3.212000|            |            |          |          |
|PGCC G309.15-23.26|16 38 50.35|-83 10 06.3|           |                 |            |            |          |          |
|PGCC G304.27-20.37|13 33 47.23|-83 07 53.2|  17.372000|         3.395000|3.214560e-01|1.733740e-01|  0.400132|  0.040741|
|PGCC G308.28-32.20|22 06 42.55|-83 07 32.6|           |                 |            |            |          |          |
|PGCC G307.73-32.62|22 27 35.48|-83 06 50.5|           |                 |            |            |          |          |
|PGCC G307.92-32.55|22 21 53.83|-83 03 37.1|           |                 |            |            |          |          |
|PGCC G277.76-36.05|04 55 40.71|-66 51 32.5|           |                 |            |            |          |          |
|PGCC G304.78-33.90|00 00 17.69|-83 02 30.5|  16.652000|         2.096000|            |            |          |          |
|PGCC G307.42-32.93|22 40 41.70|-83 01 08.9|  15.814000|         2.010000|            |            |          |          |
|PGCC G307.92-32.64|22 23 45.56|-82 59 31.5|           |                 |            |            |          |          |
|PGCC G310.47-29.71|20 23 39.92|-82 53 22.4|  14.643000|         3.309000|            |            |          |          |
|PGCC G304.10-19.96|13 26 16.32|-82 45 16.9|  15.958000|         2.744000|7.324390e-01|3.635070e-01|  0.456513|  0.041596|
|PGCC G304.43-19.97|13 36 03.86|-82 42 51.0|           |                 |            |            |          |          |
|PGCC G304.06-19.89|13 24 49.50|-82 41 09.0|           |                 |            |            |          |          |
|PGCC G301.74-19.89|12 16 08.61|-82 40 47.6|  13.992000|         1.564000|            |            |          |          |
|PGCC G309.75-31.46|21 22 10.32|-82 38 42.0|  15.739000|         1.405000|            |            |          |          |
|PGCC G308.01-21.34|15 30 27.99|-82 35 31.0|  14.260000|         2.591000|            |            |          |          |
|PGCC G310.83-29.77|20 22 15.26|-82 34 23.5|  13.259000|         3.182000|            |            |          |          |
|PGCC G309.30-32.17|21 46 53.06|-82 31 16.4|  14.367000|         2.015000|            |            |          |          |
|PGCC G310.98-29.66|20 17 34.67|-82 29 07.3|           |                 |            |            |          |          |
|PGCC G319.35+2.22 |14 55 07.44|-56 39 23.3|           |                 |            |            |          |          |
|PGCC G309.83-31.87|21 31 28.55|-82 21 11.9|  14.546000|         2.056000|            |            |          |          |
|PGCC G304.05-19.54|13 23 10.58|-82 20 41.5|  13.988000|         1.973000|            |            |          |          |
|PGCC G297.27-21.33|09 59 47.91|-82 14 29.2|  16.129000|         2.928000|            |            |          |          |
|PGCC G311.20-29.91|20 23 06.90|-82 13 23.4|  14.427000|         2.025000|            |            |          |          |
|PGCC G311.56-29.42|20 06 48.02|-82 04 04.1|  15.291000|         3.534000|            |            |          |          |
|PGCC G308.64-21.10|15 39 32.90|-82 01 53.4|  16.704000|         3.634000|            |            |          |          |
|PGCC G304.89-19.30|13 44 52.63|-81 58 09.5|           |                 |7.778760e-01|7.478710e-01|  0.531140|  0.048449|
|PGCC G302.26-18.95|12 33 33.15|-81 47 46.1|  15.780000|         1.809000|5.800460e-01|2.174530e-01|  0.396622|  0.035676|
|PGCC G310.34-22.23|16 33 38.14|-81 40 40.5|  13.673000|         0.761000|            |            |          |          |
|PGCC G312.03-29.57|20 07 48.14|-81 37 41.6|  15.765000|         3.058000|            |            |          |          |
|PGCC G302.47-18.59|12 39 43.74|-81 27 02.2|  17.187000|         3.102000|            |            |          |          |
|PGCC G296.71-34.59|03 07 35.35|-80 50 00.6|  20.784000|         4.440000|            |            |          |          |
|PGCC G304.70-18.73|13 36 44.30|-81 26 33.4|  12.901000|         1.957000|1.340750e+00|6.990860e-01|  0.399202|  0.036141|
|PGCC G301.56-18.66|12 16 19.27|-81 26 02.2|  14.171000|         0.698000|1.337010e+00|3.164730e-01|  0.363396|  0.032870|
|PGCC G303.79-18.48|13 12 54.24|-81 18 58.2|  13.028000|         2.274000|1.352750e+00|7.769790e-01|  0.422222|  0.040010|
|PGCC G311.42-23.05|17 06 58.19|-81 18 13.7|  15.503000|         2.376000|            |            |          |          |
|PGCC G312.63-28.69|19 41 52.84|-81 17 36.2|           |                 |            |            |          |          |
|PGCC G312.52-29.32|19 58 34.83|-81 16 27.5|  12.875000|         2.037000|            |            |          |          |
|PGCC G312.56-29.23|19 55 59.61|-81 15 33.6|           |                 |            |            |          |          |
|PGCC G303.93-18.43|13 16 17.01|-81 14 59.5|           |                 |            |            |          |          |
|PGCC G302.12-18.39|12 31 18.36|-81 13 36.7|           |                 |            |            |          |          |
|PGCC G312.76-28.45|19 35 05.43|-81 12 42.4|  13.613000|         1.654000|            |            |          |          |
|PGCC G312.80-28.05|19 24 42.41|-81 12 12.1|  14.754000|         2.886000|            |            |          |          |
|PGCC G312.67-29.13|19 52 58.71|-81 10 59.9|  13.826000|         3.597000|            |            |          |          |
|PGCC G312.73-28.89|19 46 39.65|-81 10 44.0|  13.306000|         2.268000|            |            |          |          |
|PGCC G302.09-18.32|12 30 30.57|-81 09 33.0|  14.375000|         3.156000|1.615250e+00|1.075250e+00|  0.503447|  0.054614|
|PGCC G312.89-28.27|19 30 09.76|-81 06 40.5|           |                 |            |            |          |          |
|PGCC G304.98-18.43|13 42 04.05|-81 06 11.7|  15.254000|         1.671000|            |            |          |          |
