https://heasarc.gsfc.nasa.gov/W3Browse/planck/planckgcc.html
Results from heasarc_planckgcc: Planck Catalog of Galactic Cold Clumps (PGCC)
Coordinate system: Equatorial
|name              |ra         |dec        |temperature|temperature_error|mass        |mass_error  |size      |size_error|
|PGCC G316.05-27.94|19 19 28.45|-78 20 39.1|  15.830000|         1.563000|            |            |          |          |
|PGCC G313.97-33.89|21 23 56.27|-78 20 24.0|  15.219000|         2.924000|            |            |          |          |
|PGCC G316.00-29.15|19 43 27.61|-78 18 28.2|  15.994000|         1.650000|            |            |          |          |
|PGCC G315.60-24.50|18 10 43.38|-78 18 17.1|  15.303000|         2.477000|            |            |          |          |
|PGCC G292.92-19.86|09 16 30.28|-78 17 57.4|  15.327000|         2.325000|            |            |          |          |
|PGCC G294.38-18.46|09 55 16.36|-78 17 20.6|  14.859000|         1.467000|            |            |          |          |
|PGCC G316.11-28.80|19 36 22.03|-78 15 07.2|  14.079000|         1.436000|            |            |          |          |
|PGCC G297.15-16.67|10 58 13.99|-78 14 47.1|  12.617000|         3.072000|1.401800e+00|1.072040e+00|  0.377481|  0.034342|
|PGCC G292.50-20.24|09 05 45.40|-78 14 03.4|           |                 |            |            |          |          |
|PGCC G292.58-20.15|09 08 07.66|-78 13 48.6|  17.035000|         5.112000|            |            |          |          |
|PGCC G295.65-17.46|10 26 12.24|-78 13 13.8|  18.778999|         4.767000|2.672370e-01|1.654550e-01|  0.460899|  0.042281|
|PGCC G295.70-17.42|10 27 21.88|-78 13 02.2|           |                 |3.987970e-01|3.504530e-01|  0.386513|  0.038416|
|PGCC G303.65-15.33|13 05 02.79|-78 10 55.1|  11.326000|         1.359000|1.947390e+00|9.286830e-01|  0.261071|  0.033674|
|PGCC G296.32-17.01|10 41 21.92|-78 10 51.9|  13.206000|         1.683000|3.211990e-01|1.454270e-01|  0.309801|  0.028492|
|PGCC G297.73-16.31|11 11 09.27|-78 09 14.8|  12.234000|         2.958000|5.678360e-01|4.361380e-01|  0.319578|  0.033592|
|PGCC G292.70-19.87|09 13 46.96|-78 08 35.7|           |                 |            |            |          |          |
|PGCC G303.86-15.30|13 08 46.91|-78 08 21.3|  10.596000|         0.708000|3.171180e+00|1.014920e+00|  0.254957|  0.023792|
|PGCC G296.71-16.74|10 50 22.29|-78 07 06.6|  14.032000|         2.437000|1.513500e+00|8.412670e-01|  0.496076|  0.044751|
|PGCC G309.23-37.79|23 12 07.60|-78 05 41.2|  15.705000|         1.231000|            |            |          |          |
|PGCC G314.90-22.25|17 25 14.21|-78 05 19.1|  12.444000|         1.752000|            |            |          |          |
|PGCC G291.90-34.38|04 10 56.01|-78 04 53.9|           |                 |            |            |          |          |
|PGCC G303.75-15.19|13 06 41.18|-78 02 20.1|           |                 |            |            |          |          |
|PGCC G295.30-17.44|10 20 59.69|-78 01 15.1|  13.722000|         1.848000|9.105240e-01|4.134410e-01|  0.395307|  0.039986|
|PGCC G295.13-17.54|10 17 17.16|-78 00 10.3|  11.555000|         1.792000|2.482260e+00|1.404350e+00|  0.444362|  0.041195|
|PGCC G297.30-16.32|11 03 39.07|-77 59 53.2|  10.165000|         1.426000|1.442210e+01|8.258790e+00|  0.338067|  0.031491|
|PGCC G326.51+0.73 |15 43 23.26|-54 04 38.1|           |                 |            |            |          |          |
|PGCC G292.49-19.80|09 12 25.48|-77 56 51.2|  15.229000|         1.082000|            |            |          |          |
|PGCC G314.96-21.97|17 20 51.75|-77 54 53.9|  12.443000|         1.020000|            |            |          |          |
|PGCC G303.73-15.02|13 06 04.79|-77 51 59.8|           |                 |            |            |          |          |
|PGCC G292.46-19.68|09 13 47.71|-77 51 18.7|  15.139000|         2.891000|            |            |          |          |
|PGCC G289.25-26.88|06 43 32.51|-77 48 42.2|  17.532000|         3.557000|            |            |          |          |
|PGCC G294.83-17.50|10 13 23.78|-77 48 22.7|  15.566000|         3.043000|            |            |          |          |
|PGCC G297.25-16.13|11 04 25.43|-77 48 00.7|           |                 |3.647980e+00|2.820210e+00|  0.322323|  0.031734|
|PGCC G294.17-17.95|09 58 40.32|-77 46 36.3|           |                 |            |            |          |          |
|PGCC G315.02-21.79|17 18 19.89|-77 46 25.6|  12.808000|         1.299000|            |            |          |          |
|PGCC G302.11-14.92|12 36 20.80|-77 45 50.8|  14.504000|         2.170000|1.106200e+00|5.344680e-01|  0.472964|  0.044764|
|PGCC G303.82-14.90|13 07 33.09|-77 44 44.8|           |                 |            |            |          |          |
|PGCC G302.04-14.88|12 35 08.00|-77 43 32.8|           |                 |            |            |          |          |
|PGCC G303.71-14.86|13 05 37.80|-77 42 23.5|           |                 |2.607530e+00|7.626230e-01|  0.263380|  0.024056|
|PGCC G302.32-14.83|12 40 21.26|-77 41 22.9|  13.538000|         2.084000|1.117590e+00|5.733260e-01|  0.405395|  0.037262|
|PGCC G297.08-16.02|11 02 30.15|-77 38 12.1|           |                 |3.176980e+00|3.269050e+00|  0.331645|  0.031695|
|PGCC G315.08-21.57|17 15 17.44|-77 37 29.2|  13.429000|         1.680000|            |            |          |          |
|PGCC G294.35-17.52|10 06 10.83|-77 32 48.8|           |                 |            |            |          |          |
|PGCC G297.51-15.73|11 11 41.58|-77 32 32.3|           |                 |            |            |          |          |
|PGCC G294.92-17.11|10 18 58.43|-77 32 17.5|           |                 |            |            |          |          |
|PGCC G296.92-15.97|11 00 22.23|-77 31 41.8|           |                 |1.494850e+00|1.594630e+00|  0.316405|  0.052366|
|PGCC G301.70-39.58|01 08 55.91|-77 30 08.1|           |                 |            |            |          |          |
|PGCC G302.48-14.63|12 43 16.03|-77 29 53.9|  13.071000|         2.515000|2.487360e-01|1.564060e-01|  0.237989|  0.026866|
|PGCC G296.54-16.12|10 52 57.04|-77 29 43.9|  13.764000|         2.921000|1.011930e+00|6.953390e-01|  0.404218|  0.036934|
|PGCC G297.58-15.64|11 13 28.12|-77 28 39.3|           |                 |            |            |          |          |
|PGCC G294.14-17.55|10 03 06.45|-77 26 42.5|  15.007000|         3.956000|2.231610e+00|2.671440e+00|  0.842567|  0.499653|
|PGCC G301.70-14.63|12 29 26.20|-77 26 40.6|           |                 |            |            |          |          |
|PGCC G303.71-14.57|13 05 16.57|-77 25 12.9|           |                 |2.050250e+00|1.112810e+00|  0.279628|  0.025389|
|PGCC G303.30-14.55|12 57 58.74|-77 24 53.2|  13.615000|         3.532000|1.352310e+00|1.085950e+00|  0.328611|  0.029904|
|PGCC G315.31-21.48|17 15 40.28|-77 23 40.7|  14.050000|         1.718000|            |            |          |          |
|PGCC G300.42-14.71|12 06 49.20|-77 21 46.3|  14.223000|         3.486000|            |            |          |          |
|PGCC G297.25-15.62|11 08 14.44|-77 20 08.4|           |                 |2.747540e+00|1.162090e+00|  0.262557|  0.025063|
|PGCC G315.30-21.29|17 12 31.25|-77 18 17.1|           |                 |            |            |          |          |
|PGCC G294.06-17.39|10 03 48.42|-77 16 13.4|           |                 |            |            |          |          |
|PGCC G315.79-21.89|17 26 05.37|-77 11 23.6|  14.267000|         2.750000|            |            |          |          |
|PGCC G300.12-14.58|12 01 59.36|-77 10 57.7|  14.068000|         1.852000|6.384210e-01|2.859490e-01|  0.401258|  0.037230|
|PGCC G296.48-15.79|10 54 45.29|-77 10 36.3|           |                 |            |            |          |          |
|PGCC G293.60-17.60|09 55 13.03|-77 09 15.0|  14.857000|         1.870000|            |            |          |          |
|PGCC G317.39-27.25|19 06 51.77|-77 08 52.3|  16.438999|         1.999000|            |            |          |          |
|PGCC G302.95-14.28|12 51 45.19|-77 08 49.0|           |                 |2.026980e+00|7.393000e-01|  0.222636|  0.021297|
|PGCC G303.40-14.25|12 59 37.75|-77 06 49.2|  10.262000|         0.669000|2.213710e+01|7.128580e+00|  0.314411|  0.028135|
|PGCC G297.36-15.33|11 12 04.88|-77 06 36.3|           |                 |            |            |          |          |
|PGCC G315.92-21.92|17 27 35.88|-77 05 45.4|           |                 |            |            |          |          |
|PGCC G297.22-15.37|11 09 42.66|-77 05 44.9|           |                 |            |            |          |          |
|PGCC G296.53-15.67|10 56 35.39|-77 05 19.5|   9.855000|         1.199000|7.296740e+00|3.824680e+00|  0.322851|  0.029191|
|PGCC G296.21-15.82|10 50 23.30|-77 05 08.2|   9.942000|         1.303000|5.958610e+00|3.272570e+00|  0.297108|  0.026804|
|PGCC G299.87-14.47|11 58 11.85|-77 01 17.3|  14.982000|         2.501000|3.483060e-01|1.821270e-01|  0.383561|  0.037039|
|PGCC G303.85-14.16|13 07 21.37|-77 00 25.0|  12.935000|         0.420000|            |            |          |          |
|PGCC G292.35-18.50|09 28 39.68|-76 59 18.4|  16.256001|         2.963000|            |            |          |          |
|PGCC G317.55-26.96|19 01 51.25|-76 59 15.0|  14.863000|         2.831000|            |            |          |          |
|PGCC G299.62-14.48|11 53 58.67|-76 59 10.5|  16.020000|         2.846000|            |            |          |          |
|PGCC G316.11-22.01|17 30 21.18|-76 58 24.0|  15.466000|         3.931000|            |            |          |          |
|PGCC G302.37-14.09|12 41 48.82|-76 57 06.4|  13.848000|         1.825000|8.966050e-01|4.003460e-01|  0.427855|  0.038774|
|PGCC G302.89-14.05|12 50 44.16|-76 55 23.9|  12.927000|         1.853000|4.369400e+00|2.187490e+00|  0.365197|  0.032754|
|PGCC G315.88-21.44|17 19 39.17|-76 54 39.7|           |                 |            |            |          |          |
|PGCC G317.68-28.66|19 31 52.75|-76 53 10.8|  14.664000|         1.053000|            |            |          |          |
|PGCC G303.15-14.01|12 55 09.04|-76 53 04.5|  14.411000|         3.847000|1.624970e+00|1.281940e+00|  0.363386|  0.033792|
|PGCC G295.51-15.97|10 38 42.03|-76 53 00.1|  14.523000|         3.146000|            |            |          |          |
|PGCC G316.51-22.49|17 40 52.46|-76 50 22.8|  14.316000|         1.121000|            |            |          |          |
|PGCC G297.15-15.11|11 10 20.83|-76 49 44.7|           |                 |3.286750e+00|3.432270e+00|  0.440490|  0.044666|
|PGCC G295.31-16.00|10 35 29.18|-76 49 12.5|           |                 |            |            |          |          |
|PGCC G302.74-13.92|12 48 09.62|-76 47 24.4|           |                 |            |            |          |          |
|PGCC G285.84+4.78 |10 51 41.14|-54 04 11.4|           |                 |            |            |          |          |
|PGCC G296.91-15.15|11 06 25.60|-76 46 28.7|  13.917000|         2.720000|1.468840e+00|9.074100e-01|  0.312164|  0.031052|
|PGCC G317.81-28.88|19 35 45.64|-76 45 23.0|  15.411000|         3.238000|            |            |          |          |
|PGCC G293.83-16.89|10 06 10.75|-76 44 27.5|  16.511000|         1.562000|            |            |          |          |
|PGCC G303.31-13.84|12 57 50.59|-76 42 35.0|           |                 |            |            |          |          |
|PGCC G317.26-23.86|18 07 24.93|-76 40 28.7|  14.981000|         3.213000|            |            |          |          |
|PGCC G303.15-13.80|12 55 05.68|-76 40 03.4|  10.653000|         1.348000|6.333190e+00|3.299610e+00|  0.337291|  0.030422|
|PGCC G296.68-15.12|11 02 58.32|-76 39 21.7|  11.251000|         2.523000|7.628230e-01|5.823450e-01|  0.268485|  0.029316|
|PGCC G316.31-21.63|17 25 53.32|-76 38 38.5|  13.666000|         1.587000|            |            |          |          |
|PGCC G297.82-14.65|11 23 44.30|-76 38 37.6|           |                 |            |            |          |          |
|PGCC G316.56-21.98|17 32 58.16|-76 35 26.0|  12.157000|         0.483000|            |            |          |          |
|PGCC G302.89-13.70|12 50 44.19|-76 34 31.8|  11.928000|         4.107000|9.750400e-01|9.497210e-01|  0.316819|  0.030017|
|PGCC G296.57-15.02|11 02 02.60|-76 31 03.7|           |                 |            |            |          |          |
|PGCC G316.51-21.70|17 28 19.83|-76 30 18.6|  15.702000|         1.651000|            |            |          |          |
|PGCC G316.75-22.11|17 36 17.29|-76 28 51.8|  11.591000|         1.599000|            |            |          |          |
|PGCC G296.95-14.81|11 09 13.71|-76 28 50.0|           |                 |            |            |          |          |
|PGCC G292.47-17.62|09 40 54.23|-76 27 00.1|           |                 |            |            |          |          |
|PGCC G294.21-16.21|10 18 08.70|-76 24 58.5|  14.721000|         2.023000|6.120580e-01|2.680790e-01|  0.460252|  0.041726|
|PGCC G316.99-22.34|17 41 26.52|-76 22 20.8|  13.336000|         3.646000|            |            |          |          |
|PGCC G314.95-19.13|16 37 49.03|-76 22 19.7|  16.108000|         1.897000|            |            |          |          |
|PGCC G299.25-13.93|11 50 08.85|-76 21 54.0|           |                 |3.430260e-01|3.074400e-01|  0.427863|  0.039287|
|PGCC G302.95-13.48|12 51 40.22|-76 21 20.0|  12.102000|         2.543000|1.955350e+00|1.355650e+00|  0.378225|  0.036974|
|PGCC G317.05-22.33|17 41 42.11|-76 19 10.7|  12.897000|         2.498000|            |            |          |          |
|PGCC G303.11-13.36|12 54 23.97|-76 14 01.4|           |                 |            |            |          |          |
|PGCC G302.87-13.32|12 50 27.64|-76 11 44.3|  14.444000|         0.910000|            |            |          |          |
|PGCC G303.29-13.32|12 57 12.67|-76 11 13.1|  12.366000|         1.321000|1.499010e+00|6.173430e-01|  0.318696|  0.029366|
|PGCC G296.89-14.51|11 10 27.31|-76 11 03.6|           |                 |1.375590e+00|6.386630e-01|  0.312495|  0.034276|
|PGCC G317.29-22.45|17 44 54.05|-76 09 55.3|           |                 |            |            |          |          |
|PGCC G303.50-13.25|13 00 40.18|-76 06 32.2|  12.280000|         1.299000|            |            |          |          |
|PGCC G299.62-13.53|11 57 32.96|-76 03 27.6|  16.990999|         2.413000|            |            |          |          |
|PGCC G293.34-16.37|10 05 23.04|-76 02 40.9|  17.763000|         1.500000|            |            |          |          |
|PGCC G301.48-13.22|12 28 01.04|-76 01 37.5|  16.851999|         1.638000|            |            |          |          |
|PGCC G296.58-14.45|11 06 10.80|-76 00 19.5|  13.379000|         3.070000|            |            |          |          |
|PGCC G298.50-13.66|11 39 35.29|-75 54 52.4|  13.144000|         0.992000|9.835190e-01|3.055160e-01|  0.266051|  0.026085|
|PGCC G298.32-13.62|11 37 00.38|-75 49 03.3|  12.994000|         1.005000|1.913980e+00|6.120430e-01|  0.330071|  0.031041|
|PGCC G298.17-13.65|11 34 35.17|-75 48 24.8|           |                 |            |            |          |          |
|PGCC G295.02-13.11|10 53 51.69|-74 08 31.7|  15.494000|         3.787000|            |            |          |          |
|PGCC G298.54-13.49|11 40 53.46|-75 45 33.3|  15.058000|         3.433000|4.286320e-01|2.924410e-01|  0.335679|  0.034504|
|PGCC G298.29-13.37|11 37 46.84|-75 34 10.9|  14.026000|         4.412000|1.889880e-01|2.330100e-01|  0.252681|  0.168259|
|PGCC G286.69-25.66|06 59 48.05|-75 23 22.5|  18.350000|         4.496000|            |            |          |          |
|PGCC G298.23-13.09|11 38 11.51|-75 17 40.1|           |                 |            |            |          |          |
|PGCC G303.53-12.42|13 00 40.87|-75 16 49.7|  14.455000|         2.637000|            |            |          |          |
|PGCC G298.31-13.05|11 39 32.63|-75 16 07.8|  10.967000|         0.710000|3.429260e+00|4.068580e+00|  0.275337|  0.183589|
|PGCC G297.94-13.00|11 34 18.12|-75 07 03.9|  14.133000|         2.692000|2.776850e-01|3.433790e-01|  0.300066|  0.200441|
|PGCC G303.70-12.17|13 03 01.86|-75 01 10.6|  13.685000|         0.413000|            |            |          |          |
|PGCC G298.15-12.79|11 38 16.80|-74 58 35.5|           |                 |            |            |          |          |
|PGCC G293.93-14.60|10 28 58.26|-74 55 23.1|  16.711000|         1.871000|            |            |          |          |
|PGCC G304.58-12.11|13 16 15.62|-74 54 10.3|  13.737000|         0.707000|2.432430e+00|2.124800e+00|  0.889537|  0.399422|
|PGCC G303.24-43.63|00 48 16.04|-73 29 44.6|           |                 |            |            |          |          |
|PGCC G297.67-12.86|11 31 06.08|-74 54 08.8|  16.145000|         3.044000|3.302400e+00|3.309010e+00|  1.349560|  0.633504|
|PGCC G306.72-12.44|13 48 42.46|-74 53 38.4|           |                 |            |            |          |          |
|PGCC G286.88-22.58|07 46 45.77|-74 45 06.7|  13.343000|         2.878000|            |            |          |          |
|PGCC G298.41-12.39|11 43 43.55|-74 40 07.0|           |                 |            |            |          |          |
|PGCC G298.22-12.44|11 40 49.50|-74 39 41.4|  14.411000|         4.109000|7.524610e-01|5.857520e-01|  0.576828|  0.056538|
|PGCC G298.32-12.37|11 42 34.80|-74 37 13.7|           |                 |            |            |          |          |
|PGCC G302.99-11.59|12 52 18.13|-74 27 55.3|  16.964001|         2.621000|            |            |          |          |
|PGCC G298.66-12.11|11 48 21.11|-74 27 39.8|  17.605000|         2.073000|2.065750e-01|7.542870e-02|  0.412635|  0.037552|
|PGCC G295.64-13.12|11 01 47.89|-74 25 20.0|  14.441000|         4.426000|            |            |          |          |
|PGCC G295.15-13.29|10 54 22.45|-74 21 58.4|  14.756000|         1.931000|1.762440e-01|7.554480e-02|  0.271186|  0.025283|
|PGCC G300.96-11.54|12 22 45.62|-74 18 11.5|           |                 |            |            |          |          |
|PGCC G298.02-12.06|11 39 31.20|-74 14 38.4|           |                 |            |            |          |          |
|PGCC G297.71-11.30|11 38 27.32|-73 25 40.8|           |                 |            |            |          |          |
|PGCC G297.94-11.95|11 38 56.75|-74 06 48.4|  15.291000|         3.388000|1.082450e+00|6.919750e-01|  0.516175|  0.049696|
|PGCC G297.47-12.01|11 32 22.08|-74 01 58.7|  12.350000|         1.947000|8.957320e-01|4.903670e-01|  0.397039|  0.035811|
|PGCC G295.32-12.84|10 59 28.34|-74 01 46.0|  13.851000|         0.785000|1.963840e+00|4.981140e-01|  0.354364|  0.031864|
|PGCC G300.88-11.27|12 22 06.48|-74 01 18.2|  13.788000|         3.253000|4.880860e+00|5.592960e+00|  1.118740|  0.604000|
|PGCC G297.61-11.92|11 34 34.29|-73 59 18.7|  13.703000|         4.042000|3.626010e-01|3.021310e-01|  0.395167|  0.038458|
|PGCC G295.31-41.94|02 15 00.27|-73 55 59.1|           |                 |            |            |          |          |
|PGCC G297.90-11.70|11 39 29.76|-73 51 58.4|           |                 |            |            |          |          |
|PGCC G294.83-12.88|10 52 56.53|-73 51 23.0|  17.226999|         3.381000|            |            |          |          |
|PGCC G300.83-10.96|12 21 54.46|-73 42 35.6|           |                 |            |            |          |          |
|PGCC G297.84-11.52|11 39 23.17|-73 40 21.7|  11.796000|         3.285000|            |            |          |          |
|PGCC G300.72-10.79|12 20 44.83|-73 32 01.8|  13.203000|         2.848000|3.581600e+00|4.591530e+00|  0.917454|  0.648165|
|PGCC G297.69-11.40|11 37 47.78|-73 30 47.8|           |                 |            |            |          |          |
|PGCC G300.58-10.57|12 19 09.99|-73 17 42.8|  13.755000|         3.858000|5.302530e+00|5.542750e+00|  1.138400|  0.468077|
|PGCC G287.39-18.37|08 44 14.54|-73 13 27.1|           |                 |            |            |          |          |
|PGCC G311.43-42.52|23 23 13.38|-73 07 33.3|           |                 |            |            |          |          |
|PGCC G300.29-10.40|12 15 32.70|-73 05 19.8|  13.886000|         3.000000|            |            |          |          |
|PGCC G300.95-44.01|01 11 01.37|-73 02 48.4|           |                 |1.624150e+04|1.374680e+04| 84.832397| 14.428100|
|PGCC G300.52-10.32|12 18 45.62|-73 02 19.5|  15.772000|         4.410000|1.845660e+00|2.261980e+00|  0.896345|  0.568307|
|PGCC G307.56-10.64|13 54 13.92|-72 56 47.0|  15.664000|         2.828000|3.934460e+00|3.420900e+00|  1.667050|  0.633863|
|PGCC G300.23-10.24|12 15 07.20|-72 55 02.2|  14.693000|         1.752000|3.022480e+00|2.750160e+00|  0.947400|  0.423412|
|PGCC G300.73-10.11|12 21 55.79|-72 51 02.7|  14.453000|         4.588000|            |            |          |          |
|PGCC G304.19-9.87 |13 08 10.81|-72 42 14.8|  15.014000|         2.903000|            |            |          |          |
|PGCC G306.22-9.32 |13 33 31.42|-71 55 14.2|  17.353001|         2.658000|            |            |          |          |
|PGCC G307.01-10.22|13 45 44.21|-72 39 53.8|  13.029000|         1.879000|4.059610e+00|5.646080e+00|  0.973539|  0.855109|
|PGCC G300.66-9.92 |12 21 17.37|-72 39 23.9|  13.280000|         1.891000|2.201180e+00|2.182110e+00|  0.494955|  0.240520|
|PGCC G304.14-9.80 |13 07 28.28|-72 38 10.2|           |                 |            |            |          |          |
|PGCC G302.39-44.49|00 56 36.56|-72 37 58.5|           |                 |2.863290e+04|3.232140e+04|132.451996|  6.974480|
|PGCC G301.14-9.79 |12 27 48.45|-72 34 45.2|  12.582000|         3.611000|            |            |          |          |
|PGCC G299.17-10.01|12 01 48.91|-72 30 58.0|           |                 |            |            |          |          |
|PGCC G301.27-9.67 |12 29 36.66|-72 28 15.2|           |                 |            |            |          |          |
|PGCC G300.64-9.60 |12 21 36.39|-72 20 18.9|  12.566000|         0.894000|            |            |          |          |
|PGCC G284.83-20.70|08 00 50.88|-72 16 25.1|           |                 |            |            |          |          |
|PGCC G300.68-9.40 |12 22 25.80|-72 08 24.5|  11.946000|         1.650000|9.718460e+00|9.111230e+00|  0.548108|  0.241667|
|PGCC G314.15-12.48|15 22 55.48|-71 58 17.4|           |                 |            |            |          |          |
|PGCC G282.98-32.40|05 24 22.56|-71 55 42.4|           |                 |2.168200e+04|9.346370e+03| 95.367897|  2.783050|
|PGCC G316.34-12.48|15 44 25.47|-70 42 14.5|           |                 |            |            |          |          |
|PGCC G283.11-33.03|05 16 08.39|-71 53 40.7|  15.908000|         2.500000|1.028730e+04|4.456510e+03| 94.844299|  1.954580|
|PGCC G300.80-9.10 |12 24 17.76|-71 51 39.2|  11.751000|         1.146000|4.563470e+00|2.417080e+00|  0.308964|  0.062361|
|PGCC G283.12-33.29|05 12 55.27|-71 50 39.5|  19.594999|         4.282000|4.801210e+03|2.511130e+03| 96.706703|  3.371960|
|PGCC G283.20-33.60|05 08 54.01|-71 49 19.6|  16.384001|         3.620000|1.294560e+04|7.319650e+03| 98.373703|  2.691590|
|PGCC G314.53-12.53|15 27 13.27|-71 48 08.7|  14.172000|         1.924000|            |            |          |          |
|PGCC G306.42-9.22 |13 35 41.22|-71 47 14.6|  16.052999|         2.492000|            |            |          |          |
|PGCC G294.38-10.76|11 00 10.98|-71 45 29.6|  16.903999|         2.879000|            |            |          |          |
|PGCC G309.92-44.51|23 47 09.26|-71 43 59.1|  17.888000|         2.110000|            |            |          |          |
|PGCC G300.86-8.96 |12 25 16.39|-71 43 47.7|  11.591000|         1.829000|6.630990e+00|4.486090e+00|  0.352362|  0.071329|
|PGCC G282.61-31.92|05 31 13.39|-71 42 36.9|           |                 |4.113030e+04|3.998050e+04|151.649994|  5.319140|
|PGCC G282.59-32.47|05 24 24.00|-71 35 40.0|           |                 |4.673960e+04|5.153110e+04|122.929001|  3.670290|
|PGCC G300.96-8.70 |12 26 53.84|-71 28 52.8|  11.984000|         2.635000|3.157890e+00|2.546580e+00|  0.334280|  0.067548|
|PGCC G282.16-30.94|05 44 14.20|-71 28 09.1|  15.610000|         1.961000|2.944180e+04|1.033350e+04| 80.332199|  2.928910|
|PGCC G299.42-8.87 |12 07 35.55|-71 26 43.7|  13.022000|         1.879000|            |            |          |          |
|PGCC G299.53-8.78 |12 09 07.83|-71 22 24.6|           |                 |            |            |          |          |
|PGCC G301.05-8.57 |12 28 04.53|-71 21 37.1|           |                 |            |            |          |          |
|PGCC G282.22-32.34|05 26 46.43|-71 18 44.8|           |                 |2.652760e+04|1.785430e+04| 88.028198|  3.688670|
|PGCC G291.74-11.66|10 26 01.94|-71 18 05.8|  17.229000|         1.504000|            |            |          |          |
|PGCC G301.09-8.50 |12 28 42.12|-71 17 20.8|           |                 |            |            |          |          |
|PGCC G299.71-8.66 |12 11 32.90|-71 17 08.9|  11.837000|         1.733000|            |            |          |          |
|PGCC G282.07-31.94|05 31 56.07|-71 15 27.1|           |                 |4.691900e+03|4.049970e+03| 95.898598|  4.003370|
|PGCC G299.86-8.61 |12 13 29.13|-71 15 25.0|           |                 |            |            |          |          |
|PGCC G312.57-5.86 |14 31 39.17|-66 50 24.8|           |                 |            |            |          |          |
|PGCC G281.77-30.79|05 46 27.96|-71 09 13.5|  16.799000|         3.457000|1.687850e+04|9.256880e+03|115.418999|  3.489180|
|PGCC G301.59-8.25 |12 35 02.76|-71 04 31.6|  14.109000|         1.706000|7.683720e+00|8.514490e+00|  0.964453|  0.564038|
|PGCC G301.27-8.25 |12 31 06.73|-71 03 23.0|   9.907000|         1.358000|            |            |          |          |
|PGCC G281.72-31.34|05 39 49.77|-71 03 07.3|           |                 |4.117410e+04|4.712810e+04|100.467003|  5.496150|
|PGCC G315.33-12.14|15 32 18.98|-71 02 01.8|  16.775000|         2.233000|            |            |          |          |
|PGCC G307.27-8.60 |13 44 36.64|-71 01 04.1|  17.160000|         1.898000|            |            |          |          |
|PGCC G307.63-8.59 |13 48 50.10|-70 56 21.5|  16.660000|         1.034000|3.194220e+00|2.582500e+00|  0.967986|  0.398481|
|PGCC G282.62-35.35|04 49 49.44|-70 50 12.6|  20.014999|         2.961000|1.394770e+04|4.977090e+03|114.042000|  3.073480|
|PGCC G301.38-7.95 |12 32 45.37|-70 46 00.5|  13.059000|         1.612000|1.332500e+01|1.318190e+01|  0.934006|  0.458045|
|PGCC G281.23-27.57|06 26 10.96|-70 44 48.0|  17.289000|         3.155000|            |            |          |          |
|PGCC G281.34-31.28|05 41 04.00|-70 43 59.9|           |                 |            |            |          |          |
|PGCC G282.70-35.95|04 42 43.97|-70 41 01.8|           |                 |1.050210e+04|1.085680e+04|108.249001|  6.619170|
|PGCC G316.25-12.37|15 42 44.93|-70 40 03.8|           |                 |            |            |          |          |
|PGCC G301.60-7.83 |12 35 27.69|-70 39 53.1|  13.051000|         0.871000|            |            |          |          |
|PGCC G316.21-12.25|15 41 29.24|-70 36 14.8|           |                 |            |            |          |          |
|PGCC G293.43-9.88 |10 54 27.52|-70 33 58.4|  17.033001|         1.563000|1.193480e+00|1.461170e+00|  0.724772|  0.511125|
|PGCC G316.15-12.09|15 39 45.26|-70 30 49.8|  14.723000|         2.332000|            |            |          |          |
|PGCC G301.50-7.64 |12 34 26.01|-70 28 01.0|  13.379000|         2.321000|            |            |          |          |
|PGCC G293.02-9.83 |10 50 21.26|-70 19 48.2|  15.898000|         2.801000|            |            |          |          |
|PGCC G293.01-9.78 |10 50 28.13|-70 17 14.6|           |                 |            |            |          |          |
|PGCC G288.82-12.47|09 52 12.01|-70 15 19.4|           |                 |            |            |          |          |
|PGCC G302.19-7.39 |12 42 46.49|-70 14 50.8|  15.175000|         1.477000|            |            |          |          |
|PGCC G292.95-9.71 |10 50 19.34|-70 12 11.9|  16.179001|         1.354000|            |            |          |          |
|PGCC G301.82-7.31 |12 38 23.37|-70 09 21.0|           |                 |            |            |          |          |
|PGCC G302.72-3.02 |12 49 20.16|-65 53 37.4|           |                 |            |            |          |          |
|PGCC G301.47-7.29 |12 34 20.06|-70 07 00.9|  13.353000|         1.279000|            |            |          |          |
|PGCC G280.64-31.45|05 39 53.42|-70 07 00.1|           |                 |5.121450e+04|3.453440e+04| 90.128799|  5.076300|
|PGCC G317.86-12.92|16 01 14.40|-70 04 42.4|           |                 |            |            |          |          |
|PGCC G296.71-8.10 |11 38 01.03|-70 04 30.2|  16.580000|         4.015000|            |            |          |          |
|PGCC G317.69-12.76|15 58 34.60|-70 03 44.3|  16.931999|         2.233000|            |            |          |          |
|PGCC G292.78-9.62 |10 49 00.59|-70 02 35.0|  15.862000|         1.414000|            |            |          |          |
|PGCC G301.72-7.17 |12 37 23.82|-70 00 26.9|  12.309000|         1.275000|            |            |          |          |
|PGCC G296.93-7.90 |11 41 04.74|-69 56 35.8|  15.552000|         1.302000|2.926010e+00|2.673790e+00|  0.927600|  0.432832|
|PGCC G308.23-46.76|00 08 58.97|-69 55 56.7|           |                 |            |            |          |          |
|PGCC G320.49-15.41|16 42 53.76|-69 54 50.0|  16.117001|         3.659000|            |            |          |          |
